Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,30.300000,-26.000000,0.000000,bottom
C2,100n,C_0402_1005Metric,53.720000,-60.225000,0.000000,bottom
C3,15p,C_0402_1005Metric,27.750000,-63.250000,180.000000,bottom
C4,15p,C_0402_1005Metric,27.750000,-62.250000,180.000000,bottom
C5,100n,C_0402_1005Metric,39.500000,-95.500000,-90.000000,bottom
C6,4.7u,C_0402_1005Metric,48.580000,-57.180000,90.000000,bottom
C7,4.7u,C_0402_1005Metric,49.590000,-57.180000,90.000000,bottom
C8,100n,C_0402_1005Metric,42.625000,-67.080000,-90.000000,bottom
C9,4.7u,C_0402_1005Metric,49.080000,-55.000000,180.000000,bottom
C10,4.7u,C_0402_1005Metric,35.000000,-59.800000,180.000000,bottom
C11,100n,C_0402_1005Metric,43.325000,-52.770000,90.000000,bottom
C12,100n,C_0402_1005Metric,48.990000,-60.460000,0.000000,bottom
C13,100n,C_0402_1005Metric,35.500000,-61.675000,180.000000,bottom
C14,100n,C_0402_1005Metric,49.805000,-64.025000,0.000000,bottom
C15,100n,C_0402_1005Metric,45.620000,-68.210000,-90.000000,bottom
C16,100n,C_0402_1005Metric,42.200000,-52.755000,90.000000,bottom
C17,100n,C_0402_1005Metric,40.475000,-67.670000,-90.000000,bottom
C18,100n,C_0402_1005Metric,38.400000,-53.600000,90.000000,bottom
C19,10u,C_0805_2012Metric,35.050000,-104.400000,180.000000,bottom
C20,100n,C_0402_1005Metric,46.800000,-53.600000,90.000000,bottom
C21,100n,C_0402_1005Metric,35.720000,-63.400000,180.000000,bottom
C23,10u,C_0805_2012Metric,52.250000,-46.350000,-90.000000,bottom
